file,campo,tipo,descrizione,esempio
01_stakeholder_ecosistema.csv,id,testo,identificativo univoco kebab-case,attc
01_stakeholder_ecosistema.csv,nome,testo,nome dell'attore,Area Trasferimento Tecnologico e della Conoscenza
01_stakeholder_ecosistema.csv,livello,enum,ateneo | locale | nazionale | internazionale,locale
01_stakeholder_ecosistema.csv,tipo,enum,struttura | organo | incubatore | parco | ecosistema | pa | impresa | rete | programma | piattaforma | ufficio | fondazione | ateneo | ricerca | patrimonio_culturale,incubatore
01_stakeholder_ecosistema.csv,sotto_area,testo,dominio tematico prevalente se rilevante,scienze della vita
01_stakeholder_ecosistema.csv,descrizione_ruolo,testo,cosa fa e perche' e' rilevante per PR.I.S.MA.,
01_stakeholder_ecosistema.csv,sito_web,url,sito ufficiale,https://www.2i3t.it
01_stakeholder_ecosistema.csv,email_contatto,testo,solo caselle istituzionali; vuoto se non raccolta,ufficio.brevetti@unito.it
01_stakeholder_ecosistema.csv,contatto_tipo,enum,istituzionale | da_raccogliere,istituzionale
01_stakeholder_ecosistema.csv,citta_regione,testo,localizzazione fisica se pertinente,Torino
01_stakeholder_ecosistema.csv,stato_verifica,enum,verificato | da_verificare,verificato
01_stakeholder_ecosistema.csv,fonte,testo,da dove viene l'informazione,sito ufficiale unito.it
01_stakeholder_ecosistema.csv,note,testo,precisazioni e avvertenze,
02_connessioni_ecosistema.csv,id,testo,identificativo univoco della relazione,c001
02_connessioni_ecosistema.csv,origine_id,testo,id dello stakeholder di partenza (rif. file 01),unito-attc
02_connessioni_ecosistema.csv,destinazione_id,testo,id dello stakeholder di arrivo (rif. file 01),2i3t
02_connessioni_ecosistema.csv,tipo_connessione,enum,parte_di | membro_di | finanzia | finanziato_da | collabora_con | alimenta | regola | eroga_servizi_a | convenzione_con | potenziale_collaborazione,convenzione_con
02_connessioni_ecosistema.csv,stato,enum,esistente | lacuna | ipotizzata,esistente
02_connessioni_ecosistema.csv,priorita,enum,alta | media | bassa; solo per stato=lacuna o ipotizzata,alta
02_connessioni_ecosistema.csv,motivazione,testo,perche' la relazione esiste o perche' varrebbe la pena crearla,
02_connessioni_ecosistema.csv,fonte,testo,verificato su fonte o ragionamento del compilatore,
03_glossario_concetti.csv,id,testo,identificativo univoco,freedom-to-operate
03_glossario_concetti.csv,termine,testo,voce del glossario in italiano,Freedom to Operate
03_glossario_concetti.csv,termine_en,testo,traduzione inglese del termine,Freedom to Operate
03_glossario_concetti.csv,acronimo_esteso,testo,forma estesa se il termine e' un acronimo altrimenti vuoto,FTO = Freedom To Operate
03_glossario_concetti.csv,area,enum,IP | processo_TT | policy_IT | policy_UE | metriche | valorizzazione_SSH,IP
03_glossario_concetti.csv,definizione_breve,testo,definizione in una frase,
03_glossario_concetti.csv,esempio_applicato,testo,esempio calato sul contesto UniTo,
03_glossario_concetti.csv,termini_correlati,testo,altri id separati da punto e virgola,prior-art;patentability
03_glossario_concetti.csv,fonte_id,testo,riferimento al file 04,src-cpi-2005
04_fonti.csv,id,testo,identificativo univoco,src-cpi-2005
04_fonti.csv,titolo,testo,titolo del documento o norma,Codice della Proprieta' Industriale
04_fonti.csv,editore,testo,chi lo pubblica,Normattiva
04_fonti.csv,tipo,enum,norma | bando | regolamento_unito | report | policy_UE | sito,norma
04_fonti.csv,url,url,link alla fonte,
04_fonti.csv,data,data,data del documento,2005-02-10
04_fonti.csv,livello_affidabilita,enum,A_primaria | B_istituzionale | C_secondaria,A_primaria
04_fonti.csv,note_locator,testo,articolo o pagina specifica,artt. 45-50
05_argomenti_esame.csv,id,testo,identificativo,a1
05_argomenti_esame.csv,argomento,testo,testo dell'art. 7 del bando,
05_argomenti_esame.csv,livello_richiesto,testo,come lo qualifica il bando,ottima conoscenza
05_argomenti_esame.csv,priorita_studio,intero 1-4,1=massima priorita,1
05_argomenti_esame.csv,contenuto_chiave,testo,cosa sapere,
06_numeri_chiave.csv,gruppo,testo,categoria del dato,Proventi
06_numeri_chiave.csv,domanda,testo,la domanda da porsi,
06_numeri_chiave.csv,risposta,testo,il numero,50%
06_numeri_chiave.csv,fonte,testo,articolo di riferimento,Brevetti art. 18
