gruppo,domanda,risposta,fonte
Proventi,Quota dei proventi netti all'inventore,50%,Regolamento Brevetti art. 18
Proventi,Quota al Fondo brevetti d'Ateneo,25%,Regolamento Brevetti art. 18
Proventi,Quota al Dipartimento di afferenza,15%,Regolamento Brevetti art. 18
Proventi,Quota al Fondo per iniziative a beneficio degli inventori,10%,Regolamento Brevetti art. 18
Termini,Termine per depositare dalla comunicazione d'invenzione,6 mesi,Regolamento Brevetti art. 9
Termini,Proroga massima del termine di deposito,3 mesi,Regolamento Brevetti art. 9
Termini,Copertura garantita almeno per l'Italia dal primo deposito,4 anni,Regolamento Brevetti art. 12
Contratti,Quota minima di contitolarita' dell'Ateneo nelle convenzioni di ricerca,25%,Regolamento Brevetti art. 6
Organi,Membri della Commissione Brevetti,6,Regolamento Brevetti art. 10
Organi,Membri fissi della Commissione Spin off piu' uno variabile,4 + 1,Regolamento Spin off art. 6
Spin off,Forbice della partecipazione UniTo in uno spin off dell'Universita',5% - 49%,Regolamento Spin off art. 3
Spin off,Tetto del conferimento dell'Ateneo,110000 euro,Regolamento Spin off art. 3
Spin off,Durata della qualifica di spin off,5 anni,Regolamento Spin off art. 8
Spin off,Termine per l'iscrizione al registro imprese dalla delibera,18 mesi,Regolamento Spin off art. 8
Organi,Durata del mandato del Rettore,6 anni,Statuto art. 48
Organi,Componenti del Consiglio di Amministrazione,11,Statuto art. 55
Organi,Docenti nel Senato Accademico di cui almeno 8 direttori,24,Statuto art. 51
Organi,Afferenti minimi per un Dipartimento,45,Statuto art. 10
Selezione,Punteggio minimo al colloquio per l'idoneita',42 su 60,Bando art. 7
Selezione,Punti massimi per titoli di servizio prestato in UniTo,21 su 30,Bando art. 4
