id,nome,livello,tipo,sotto_area,descrizione_ruolo,sito_web,email_contatto,contatto_tipo,citta_regione,stato_verifica,fonte,note
unito-direzione,Direzione Ricerca Innovazione e Internazionalizzazione,ateneo,struttura,governo,Direzione di vertice a cui afferisce il ruolo messo a concorso. Direttrice Elisa Rosso.,https://www.unito.it,direzione.innovazioneinternazionalizzazione@unito.it,istituzionale,Torino,verificato,organigramma 29/5/2026,Via Bogino 9
unito-attc,Area Trasferimento Tecnologico e della Conoscenza,ateneo,struttura,IP e TT,Gestisce portafoglio brevetti spin-off e bandi PoC/PoV. Responsabile Chiara Benente.,https://www.unito.it/ricerca-e-innovazione/trasferimento-tecnologico-e-della-conoscenza,ufficio.brevetti@unito.it,istituzionale,Torino,verificato,organigramma + sito unito.it,
unito-sez-pi,Sezione Tutela e Valorizzazione della Proprieta' Intellettuale,ateneo,struttura,IP,Sede del ruolo messo a concorso. Responsabile a.i. Chiara Benente.,https://www.unito.it,ufficio.brevetti@unito.it,istituzionale,Torino,verificato,organigramma 29/5/2026,
unito-sez-spinoff,Sezione Imprenditorialita' e Spin off,ateneo,struttura,spin-off,Percorso di riconoscimento spin-off e rapporti con l'incubatore.,https://www.unito.it,,da_raccogliere,Torino,verificato,organigramma 29/5/2026,responsabile Oriana Bertola secondo organigramma a bassa risoluzione: da confermare
unito-ilo,Sezione Relazioni con le Imprese ILO,ateneo,struttura,imprese,Interfaccia con le imprese nell'Area Innovazione e Progetti di Ateneo.,https://www.unito.it,,da_raccogliere,Torino,da_verificare,organigramma 29/5/2026,
unito-aipa,Area Innovazione e Progetti di Ateneo,ateneo,struttura,finanziamenti,Programmi e finanziamenti per l'innovazione e lo sviluppo territoriale. Resp. a.i. Elisa Rosso.,https://www.unito.it,,da_raccogliere,Torino,verificato,organigramma 29/5/2026,
unito-cbrevetti,Commissione Brevetti,ateneo,organo,IP,Valuta le comunicazioni di invenzione. Sei membri nominati dal Senato Accademico.,,,,Torino,verificato,Regolamento Brevetti D.R. 1997/2024 art. 10,
unito-cspinoff,Commissione Spin off,ateneo,organo,spin-off,Istruisce le domande di spin-off. Quattro membri fissi piu' uno variabile.,,,,Torino,verificato,Regolamento Spin off D.R. 2111/2022 art. 6,
unito-vipe,Area Valorizzazione Impatto e Public Engagement,ateneo,struttura,terza missione SSH,Terza missione non brevettuale. Rilevante per le aree umanistiche e sociali.,https://www.unito.it,,da_raccogliere,Torino,verificato,organigramma 29/5/2026,responsabile Andrea Maurilio De Bortoli
unito-opensci,Unita' di Progetto Open Science,ateneo,struttura,accesso aperto,Gestisce IRIS AperTO e i principi di accesso aperto. Responsabile Elena Giglia.,https://www.unito.it,,da_raccogliere,Torino,verificato,organigramma + Statuto art. 38,
unito-dip-scouting,Dipartimenti target fisica chimica aree umanistiche,ateneo,struttura,scouting multidisciplinare,Bacino primario dello scouting nelle aree indicate dal bando come meno attive.,,,,Torino,verificato,bando art. 7 obiettivi progetto,vedi file 14 per il dettaglio
unito-dbios,Dipartimento Scienze della Vita e Biologia dei Sistemi DBIOS,ateneo,struttura,scienze della vita,Dipartimento del componente di commissione Gianluca Catucci SSD BIOS-07/A.,,,,Torino,verificato,decreto nomina commissione,
2i3t,2i3T,locale,incubatore,trasversale,Incubatore universitario certificato di UniTo. Gestisce le convenzioni per l'uso degli spazi da parte degli spin-off.,https://www.2i3t.it,,da_raccogliere,Torino,verificato,Regolamento Spin off art. 8; ricerca web,in 18 anni ha supportato 122 tra startup e spin-off secondo fonti pubbliche
polito,Politecnico di Torino,locale,ateneo,trasversale,Co-promotore di Knowledge Share insieme a UIBM e Netval. Partner e termine di paragone.,https://www.polito.it,,da_raccogliere,Torino,verificato,ricerca web,
i3p,I3P,locale,incubatore,trasversale,Incubatore di imprese innovative del Politecnico di Torino. Coinvolto nell'esecuzione del bando PoC Instrument insieme a 2i3T.,https://www.i3p.it,,da_raccogliere,Torino,verificato,bando PoC Instrument 2026 Compagnia San Paolo,
nodes,NODES,locale,ecosistema,trasversale,Ecosistema dell'Innovazione PNRR per il Nord Ovest. UniTo guida lo Spoke 2 sulle green technologies.,https://www.nodes-lombardiapiemonte.it,,da_raccogliere,Piemonte-Lombardia-VdA,verificato,ricerca web,
links,Fondazione LINKS,locale,ricerca,ICT e tecnologie applicate,Ricerca applicata su tecnologie dell'informazione e ingegneria.,https://linksfoundation.com,,da_raccogliere,Torino,verificato,ricerca web,
envipark,Environment Park,locale,parco,ambiente,Parco tecnologico per le tecnologie ambientali.,https://www.envipark.com,,da_raccogliere,Torino,verificato,ricerca web,
