id,termine,termine_en,acronimo_esteso,area,definizione_breve,esempio_applicato,termini_correlati,fonte_id
pi-distinzione,Proprieta' intellettuale vs proprieta' industriale (PI),Intellectual property vs industrial property,PI = Proprieta' Intellettuale oppure Proprieta' Industriale a seconda del contesto,IP,in italiano PI e' ambigua: proprieta' industriale e' il perimetro del Codice della Proprieta' Industriale (brevetti marchi disegni segreti commerciali) mentre proprieta' intellettuale e' il termine piu' ampio che include anche il diritto d'autore regolato da una legge distinta la 633/1941; UniTo usa il termine piu' ampio nel nome della propria Sezione pur depositando titoli di proprieta' industriale,quando si dice PI in un documento UniTo bisogna chiedersi se si parla di un brevetto CPI o anche di software e banche dati coperti da diritto d'autore,brevetto;know-how,src-cpi-2005
brevetto,Brevetto,Patent,,IP,titolo che protegge un'invenzione tecnica nuova con attivita' inventiva e industrialmente applicabile per un massimo di 20 anni,un ricercatore UniTo deposita un brevetto su un nuovo biosensore,novita;attivita-inventiva;industrialita,src-cpi-2005
modello-utilita,Modello di utilita',Utility model,,IP,titolo che protegge un miglioramento funzionale di un prodotto gia' esistente con requisiti meno stringenti del brevetto e durata piu' breve,un nuovo supporto ergonomico per uno strumento di laboratorio,brevetto,src-cpi-2005
marchio,Marchio,Trademark,,IP,segno distintivo registrabile che identifica prodotti o servizi sul mercato,il logo di uno spin-off UniTo registrato come marchio,know-how,src-cpi-2005
know-how,Know-how,Know-how,,IP,informazioni tecniche riservate con valore commerciale protette da misure di segretezza anziche' da un titolo registrato,un metodo di sintesi non brevettato ma tenuto riservato e trasferito via contratto,segreto-commerciale,dir-2016-943
segreto-commerciale,Segreto commerciale,Trade secret,,IP,informazione riservata di valore commerciale protetta dalla Direttiva UE 2016/943 finche' resta segreta,una formula chimica non divulgata condivisa solo sotto NDA,know-how;nda,dir-2016-943
prior-art,Stato della tecnica (prior art),Prior art,,processo_TT,tutto cio' che e' stato reso accessibile al pubblico prima del deposito e che puo' distruggere la novita' di un'invenzione,ricerca su Espacenet prima di depositare,novita;freedom-to-operate,src-cpi-2005
freedom-to-operate,Liberta' di attuazione (FTO),Freedom to Operate,FTO = Freedom To Operate,processo_TT,analisi che verifica se lo sfruttamento di una tecnologia viola titoli di terzi gia' in vigore,verifica prima di lanciare uno spin-off che il prodotto non violi brevetti altrui,prior-art,
novita,Novita',Novelty,,IP,requisito di brevettabilita': l'invenzione non deve essere compresa nello stato della tecnica,art. 46 del Codice della Proprieta' Industriale,prior-art,src-cpi-2005
attivita-inventiva,Attivita' inventiva,Inventive step,,IP,requisito di brevettabilita': la soluzione non deve essere ovvia per una persona esperta del ramo,art. 48 del Codice della Proprieta' Industriale,novita,src-cpi-2005
industrialita,Industrialita',Industrial applicability,,IP,requisito di brevettabilita': l'oggetto deve essere fabbricabile o utilizzabile in un'industria,art. 49 del Codice della Proprieta' Industriale,novita,src-cpi-2005
