id,titolo,editore,tipo,url,data,livello_affidabilita,note_locator,parole_chiave
src-bando-2026-12,Bando 2026_12 TD Direzione Ricerca,Universita' di Torino / INPA,bando,,2026-07-08,A_primaria,art. 4 e art. 7,bando;colloquio;selezione;KTM
src-decreto-commissione,Decreto di nomina della commissione,Universita' di Torino,bando,,2026-08-13,A_primaria,Albo Ufficiale,commissione;nomina
src-avviso-colloquio,Avviso di colloquio con appello nominale,Universita' di Torino,bando,,2026-08-13,A_primaria,Albo Ufficiale,colloquio;appello nominale
src-organigramma,Organigramma Direzione Ricerca Innovazione e Internazionalizzazione,Universita' di Torino,sito,,2026-05-29,A_primaria,aggiornato al 29 maggio 2026,organigramma;struttura;Direzione
src-reg-brevetti-2024,Regolamento dei Brevetti e della Proprieta' Intellettuale,Universita' di Torino,regolamento_unito,https://www.unito.it/sites/default/files/reg_brevetti_1997_2024.pdf,2024-03-21,A_primaria,D.R. n. 1997 del 21/03/2024 testo integrale letto,brevetti;proprieta industriale;titolarita;Legge 102/2023;ripartizione proventi
src-reg-spinoff-2022,Regolamento sull'approvazione degli Spin off dell'Universita' ed Accademici,Universita' di Torino,regolamento_unito,https://www.unito.it/sites/default/files/reg_approvazione_spin_off_decr_2111_2022.pdf,2022-05-10,A_primaria,D.R. n. 2111 del 10/05/2022 testo integrale letto,spin-off;incompatibilita;partecipazione Ateneo
src-statuto-2012,Statuto di Ateneo,Universita' di Torino,regolamento_unito,https://www.unito.it/sites/default/files/statuto.pdf,2012-03-15,A_primaria,D.R. n. 1730 del 15/03/2012 testo integrale letto artt. 1-69,Statuto;terza missione;organi di governo
src-cpi-2005,Codice della Proprieta' Industriale D.Lgs. 30/2005,Normattiva,norma,,2005-02-10,A_primaria,artt. 45-50 e 64-65,Codice Proprieta Industriale;brevettabilita;novita
src-l102-2023,Legge 24 luglio 2023 n. 102,Gazzetta Ufficiale,norma,,2023-07-24,A_primaria,in vigore dal 23/08/2023 riforma art. 65 CPI,professor's privilege;titolarita invenzioni;riforma
src-dm168-2011,Decreto Ministeriale 168/2011,MUR,norma,,2011-01-01,A_primaria,incompatibilita' cariche spin-off art. 4,incompatibilita;spin-off;cariche direttive
src-racc-2022,Raccomandazione del Consiglio UE 2022/2415 sulla valorizzazione della conoscenza,Commissione Europea,policy_UE,,2022-12-02,A_primaria,,valorizzazione della conoscenza;Consiglio UE
src-bando-mimit-utt,Bando MIMIT per il potenziamento degli UTT 2025-2027,MIMIT DG UIBM,bando,,2025-04-05,A_primaria,GU Serie Generale n.80 del 5/4/2025,bando UTT;KTM;Innovation Promoter;finanziamento
src-poc-instrument-2026,Bando PoC Instrument 2026,Fondazione Compagnia di San Paolo,bando,https://www.compagniadisanpaolo.it/it/contributi/poc-instrument-2026,2026-03-02,A_primaria,coinvolge ISPIC 2i3T e I3P,PoC;Compagnia di San Paolo;ISPIC;2i3T;I3P
src-pov-unito,Bandi Proof of Value PoV,Universita' di Torino,sito,https://www.unito.it/ricerca-e-innovazione/trasferimento-tecnologico-e-della-conoscenza/bandi-proof-value-pov,2024-01-01,A_primaria,,PoV;valorizzazione non brevettuale;scienze umane
src-brevetti-unito-sito,I nostri brevetti,Universita' di Torino,sito,https://www.unito.it/ricerca-e-innovazione/trasferimento-tecnologico-e-della-conoscenza/i-nostri-brevetti,2026-01-01,A_primaria,riferimento a Knowledge Share,portafoglio brevetti;Knowledge Share
src-unita-menu,Menu Internazionalita' sito UniTo,Universita' di Torino,sito,https://www.unito.it/internazionalita,2026-01-01,A_primaria,cita UNITA Universitas Montium,UNITA;alleanza universitaria europea
src-kuleuven,Pagine ufficiali KU Leuven Research and Development,KU Leuven,sito,https://lrd.kuleuven.be,2026-01-01,B_istituzionale,ranking Reuters non piu' pubblicato dopo il 2019,benchmark;KU Leuven;ufficio TT storico
src-ip-helpdesk,European IP Helpdesk,Commissione Europea,sito,https://intellectual-property-helpdesk.ec.europa.eu,2026-01-01,A_primaria,,PMI;supporto PI;Horizon Europe
src-nix-kt,How to Create a Successful Knowledge Transfer Plan,NIX articolo fornito dall'utente,report,,2026-01-01,C_secondaria,metodologia KT paraphrasata non citata testualmente,knowledge transfer plan;capture transfer apply retain
src-sopheroes-kt,SOPs for Knowledge Transfer,SOP Heroes articolo fornito dall'utente,report,,2026-03-31,C_secondaria,metodologia SOP paraphrasata non citata testualmente,SOP;procedure operative;succession planning
src-kminsider,10 Best Knowledge Management Software Platforms for 2025,KM Insider articolo fornito dall'utente,report,,2025-01-01,C_secondaria,confronto strumenti paraphrasato,software gestione conoscenza;Notion;Whale
src-astp-whitepaper-ktt,Knowledge and Technology Transfer Metrics White Paper,ASTP endorsed by NAAC,report,,2025-01-01,B_istituzionale,framework del cubo delle metriche e sei raccomandazioni,metriche KTT;cubo delle metriche;raccomandazioni ASTP
src-naac-ktt-report,Knowledge and Technology Transfer Metrics Report,ASTP NAAC Working Group on KPI Metrics and Impact,report,,2025-11-01,B_istituzionale,rapporto completo su cui si basa il white paper tabelle di indicatori per 19 paesi,indicatori per paese;definizioni armonizzate;spin-off vs start-up
src-netval-wp1-2023-unitario,Il brevetto Europeo con effetto unitario e la richiesta di opt-out,Netval Working Paper n.1/2023 M. Barbieri,report,,2023-06-01,B_istituzionale,procedura di opt-out e griglia decisionale,brevetto unitario;opt-out;Tribunale Unificato
src-poc-monitoraggio-2022,Rapporto di monitoraggio 2022 del Bando Proof of Concept,Netval per Invitalia/UIBM-MIMIT,report,,2022-07-01,A_primaria,dati finanziari per ente compreso UniTo,PoC;monitoraggio;dati finanziari per ente
src-poc-impatto-2025,Analisi di impatto sul Bando Proof of Concept,Netval per Invitalia Tolin e Piccaluga,report,,2025-01-01,A_primaria,esiti selezione con UniTo prima per finanziamento,PoC;impatto;TRL;spin-off;UniTo prima classificata
src-utt-report1-2021,Rapporto sui risultati del primo bando UTT,DGTPI-UIBM con Netval,report,,2021-07-01,A_primaria,origine Linea 1 KTM e Linea 2 Innovation Promoter dal 2016,primo bando UTT;Linea 1 KTM;Linea 2 Innovation Promoter
src-utt-report2-2019,Rapporto sui risultati del secondo bando UTT,DGTPI-UIBM con Netval,report,,2021-11-01,A_primaria,citazione diretta di Univ. Torino su sfide life science,secondo bando UTT;citazione UniTo;life science
src-iam4re-d21-2025,D2.1 Best practices e materiali formativi in KV e Standardizzazione,Progetto Horizon Europe IAM4RE.eu con ASTP,report,,2025-07-30,B_istituzionale,vuoto formativo SSH confermato cita REVALORISE+,valorizzazione SSH;standardizzazione;formazione;REVALORISE+
src-astp-standardisation-2025,Standardisation - a way to get IMPACT from research,ASTP Working Group on Standards,report,,2025-04-01,B_istituzionale,standardizzazione come canale di valorizzazione,standardizzazione;Code of Practice;TTO fit for standardisation
src-technovation-netval-2026,Seeking legitimacy and learning KTOs' engagement with associations,Technovation Elsevier Grimaldi Meoli Piccaluga Tolin,report,,2026-01-01,A_primaria,studio longitudinale su Netval tre fasi evolutive,Netval;legittimita;apprendimento;KEA;studio longitudinale
src-european-spinouts-2025,European Spinouts Report 2025,Dealroom.co,report,,2025-11-01,C_secondaria,Torino tra i poli europei nessun ateneo italiano nella top 40,spinout;Dealroom;Torino;ranking europeo
src-astp-executive-data-fy2022,ASTP Annual Survey Executive Data Report FY2022,ASTP,report,,2024-01-01,B_istituzionale,benchmark europei per ufficio TT medio definizioni spin-off e start-up,survey ASTP;benchmark europeo;definizioni spin-off start-up
