gruppo,domanda,traccia_risposta
Situazionali,Un ricercatore la chiama: ha un risultato interessante e presenta a un congresso fra tre settimane. Cosa fa?,"Chiedere di non divulgare nulla per l'obbligo di riservatezza dell'art. 13; avviare la comunicazione di invenzione; valutare un deposito prioritario; il messaggio e' pubblichiamo dopo non non pubblicare"
Proprieta' intellettuale,Chi e' titolare dell'invenzione di un assegnista di ricerca?,I diritti patrimoniali sono dell'Ateneo per effetto della Legge 102/2023 i diritti morali restano all'inventore
Proprieta' intellettuale,Che cosa e' cambiato con la Legge 102/2023?,Abolito il privilegio del professore la titolarita' passa all'ente salvo inerzia in cambio obbligo di comunicazione e diritto a meta' dei proventi netti
Proprieta' intellettuale,Cosa succede se l'Ateneo non deposita?,Sei mesi prorogabili di tre poi l'inventore puo' depositare a proprio nome l'Ateneo mantiene l'uso per didattica e ricerca
Contratti,Un'azienda vuole finanziare una ricerca e pretende tutta la proprieta' dei risultati,Dipende dal tipo di contratto nel conto terzi nessuna cessione nelle convenzioni di ricerca innovativa la quota UniTo non scende mai sotto il 25%
Spin off,Differenza tra spin off dell'Universita' e spin off accademico?,Nel primo l'Ateneo e' socio tra il 5 e il 49% nel secondo non ha quote ma approva il progetto con lo stesso iter
Spin off,Un professore vuole diventare amministratore delegato del suo spin off,Aspettativa senza assegni se supera il proprio emolumento incompatibilita' assoluta per Rettore CdA Senato direttori di Dipartimento e membri delle Commissioni
Progetto,Cosa significa rafforzare lo scouting nelle aree meno attive come fisica chimica e scienze umanistiche?,In fisica e chimica e' un problema di intensita' nelle aree umanistiche di categoria valorizzazione non brevettuale gia' coperta dall'art. 2 del Regolamento Brevetti
Progetto,Come immagina i suoi primi tre mesi?,Formazione e affiancamento su almeno tre pratiche reali ricostruzione del quadro del portafoglio interviste ai primi gruppi di ricerca
Progetto,Quali indicatori userebbe per misurare il successo del progetto?,Comunicazioni di invenzione domande depositate schede pubblicate gruppi contattati imprese incontrate stessi indicatori del reporting MIMIT e della rilevazione nazionale
Percorso,Perche' passare dal suo percorso precedente al trasferimento tecnologico?,Da costruire con parole proprie valorizzando competenze trasferibili e onestà sulla mancanza di esperienza diretta
Percorso,Cosa la rende adatta nonostante l'assenza di esperienza diretta in proprieta' intellettuale?,Nominare la lacuna per prima collegarla alla Fase 1 del progetto chiudere con qualcosa di concreto gia' fatto
